# table for coexisting phases in IAPWS95
nbin_coex    800
temperature_coex_min    2.731600e+02
temperature_coex_max    6.470900e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_liq (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_liq (J / kg)    entropy_vap (J / kg / degK)    entropy_liq (J / kg / degK)
    2.92323913e+02    2.22225501e+03    1.64933529e-02    9.98328532e+02    2.53593174e+06    8.04571405e+04    8.68451622e+03    2.84674477e+02
    2.92791325e+02    2.28784430e+03    1.69534561e-02    9.98235085e+02    2.53678150e+06    8.24132252e+04    8.67401408e+03    2.91360407e+02
    2.93258738e+02    2.35512198e+03    1.74246144e-02    9.98139316e+02    2.53763101e+06    8.43691526e+04    8.66355524e+03    2.98035128e+02
    2.93726150e+02    2.42412464e+03    1.79070470e-02    9.98041248e+02    2.53848028e+06    8.63249294e+04    8.65313944e+03    3.04698700e+02
    2.94193563e+02    2.49488953e+03    1.84009764e-02    9.97940904e+02    2.53932930e+06    8.82805624e+04    8.64276647e+03    3.11351182e+02
    2.94660975e+02    2.56745446e+03    1.89066279e-02    9.97838307e+02    2.54017806e+06    9.02360581e+04    8.63243608e+03    3.17992630e+02
    2.95128388e+02    2.64185795e+03    1.94242309e-02    9.97733477e+02    2.54102657e+06    9.21914227e+04    8.62214805e+03    3.24623100e+02
    2.95595800e+02    2.71813913e+03    1.99540177e-02    9.97626436e+02    2.54187482e+06    9.41466625e+04    8.61190214e+03    3.31242649e+02
    2.96063213e+02    2.79633782e+03    2.04962243e-02    9.97517205e+02    2.54272281e+06    9.61017835e+04    8.60169813e+03    3.37851330e+02
    2.96530625e+02    2.87649446e+03    2.10510897e-02    9.97405804e+02    2.54357053e+06    9.80567914e+04    8.59153580e+03    3.44449198e+02
    2.96998038e+02    2.95865018e+03    2.16188569e-02    9.97292254e+02    2.54441798e+06    1.00011692e+05    8.58141492e+03    3.51036306e+02
    2.97465450e+02    3.04284681e+03    2.21997721e-02    9.97176575e+02    2.54526516e+06    1.01966490e+05    8.57133526e+03    3.57612705e+02
    2.97932863e+02    3.12912683e+03    2.27940851e-02    9.97058784e+02    2.54611206e+06    1.03921193e+05    8.56129660e+03    3.64178447e+02
    2.98400275e+02    3.21753344e+03    2.34020493e-02    9.96938902e+02    2.54695868e+06    1.05875803e+05    8.55129873e+03    3.70733584e+02
    2.98867688e+02    3.30811055e+03    2.40239218e-02    9.96816947e+02    2.54780503e+06    1.07830328e+05    8.54134141e+03    3.77278164e+02
    2.99335100e+02    3.40090272e+03    2.46599629e-02    9.96692938e+02    2.54865108e+06    1.09784771e+05    8.53142445e+03    3.83812238e+02
    2.99802513e+02    3.49595529e+03    2.53104369e-02    9.96566891e+02    2.54949684e+06    1.11739138e+05    8.52154761e+03    3.90335853e+02
    3.00269925e+02    3.59331428e+03    2.59756118e-02    9.96438826e+02    2.55034231e+06    1.13693433e+05    8.51171068e+03    3.96849059e+02
    3.00737338e+02    3.69302649e+03    2.66557591e-02    9.96308758e+02    2.55118749e+06    1.15647660e+05    8.50191344e+03    4.03351903e+02
    3.01204750e+02    3.79513940e+03    2.73511544e-02    9.96176705e+02    2.55203236e+06    1.17601825e+05    8.49215570e+03    4.09844430e+02
    3.01672163e+02    3.89970129e+03    2.80620766e-02    9.96042684e+02    2.55287693e+06    1.19555932e+05    8.48243722e+03    4.16326688e+02
    3.02139575e+02    4.00676118e+03    2.87888089e-02    9.95906711e+02    2.55372119e+06    1.21509984e+05    8.47275781e+03    4.22798722e+02
    3.02606988e+02    4.11636880e+03    2.95316378e-02    9.95768802e+02    2.55456515e+06    1.23463986e+05    8.46311726e+03    4.29260577e+02
