# table for coexisting phases in IAPWS06
nbin_coex    300
temperature_coex_min    1.231600e+02
temperature_coex_max    2.731600e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_ice (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_ice (J / kg)    entropy_vap (J / kg / degK)    entropy_ice (J / kg / degK)
    2.10660000e+02    7.69091008e-01    7.91059822e-06    9.24935785e+02    2.38553369e+06    -4.50238074e+05    1.17577121e+04    -1.70365582e+03
    2.11160000e+02    8.24086981e-01    8.45619891e-06    9.24878395e+02    2.38645936e+06    -4.49415411e+05    1.17302256e+04    -1.69975528e+03
    2.11660000e+02    8.82729705e-01    9.03655429e-06    9.24820851e+02    2.38738502e+06    -4.48590976e+05    1.17028782e+04    -1.69585558e+03
    2.12160000e+02    9.45241480e-01    9.65368904e-06    9.24763154e+02    2.38831070e+06    -4.47764766e+05    1.16756689e+04    -1.69195671e+03
    2.12660000e+02    1.01185693e+00    1.03097343e-05    9.24705304e+02    2.38923637e+06    -4.46936782e+05    1.16485968e+04    -1.68805866e+03
    2.13160000e+02    1.08282359e+00    1.10069327e-05    9.24647302e+02    2.39016205e+06    -4.46107022e+05    1.16216608e+04    -1.68416143e+03
    2.13660000e+02    1.15840258e+00    1.17476433e-05    9.24589148e+02    2.39108773e+06    -4.45275486e+05    1.15948600e+04    -1.68026501e+03
    2.14160000e+02    1.23886924e+00    1.25343473e-05    9.24530842e+02    2.39201342e+06    -4.44442173e+05    1.15681935e+04    -1.67636938e+03
    2.14660000e+02    1.32451385e+00    1.33696533e-05    9.24472385e+02    2.39293910e+06    -4.43607082e+05    1.15416603e+04    -1.67247455e+03
    2.15160000e+02    1.41564230e+00    1.42563034e-05    9.24413778e+02    2.39386479e+06    -4.42770212e+05    1.15152594e+04    -1.66858050e+03
    2.15660000e+02    1.51257692e+00    1.51971788e-05    9.24355020e+02    2.39479048e+06    -4.41931562e+05    1.14889900e+04    -1.66468723e+03
    2.16160000e+02    1.61565720e+00    1.61953065e-05    9.24296114e+02    2.39571618e+06    -4.41091133e+05    1.14628512e+04    -1.66079473e+03
    2.16660000e+02    1.72524063e+00    1.72538656e-05    9.24237058e+02    2.39664187e+06    -4.40248922e+05    1.14368420e+04    -1.65690300e+03
    2.17160000e+02    1.84170359e+00    1.83761940e-05    9.24177853e+02    2.39756756e+06    -4.39404929e+05    1.14109615e+04    -1.65301202e+03
    2.17660000e+02    1.96544216e+00    1.95657956e-05    9.24118500e+02    2.39849326e+06    -4.38559154e+05    1.13852089e+04    -1.64912178e+03
    2.18160000e+02    2.09687310e+00    2.08263472e-05    9.24059000e+02    2.39941895e+06    -4.37711596e+05    1.13595832e+04    -1.64523230e+03
    2.18660000e+02    2.23643480e+00    2.21617064e-05    9.23999352e+02    2.40034464e+06    -4.36862253e+05    1.13340836e+04    -1.64134354e+03
    2.19160000e+02    2.38458825e+00    2.35759194e-05    9.23939557e+02    2.40127033e+06    -4.36011125e+05    1.13087092e+04    -1.63745552e+03
    2.19660000e+02    2.54181814e+00    2.50732288e-05    9.23879617e+02    2.40219602e+06    -4.35158212e+05    1.12834591e+04    -1.63356821e+03
    2.20160000e+02    2.70863388e+00    2.66580825e-05    9.23819530e+02    2.40312171e+06    -4.34303512e+05    1.12583326e+04    -1.62968163e+03
    2.20660000e+02    2.88557075e+00    2.83351417e-05    9.23759298e+02    2.40404739e+06    -4.33447025e+05    1.12333287e+04    -1.62579575e+03
    2.21160000e+02    3.07319107e+00    3.01092908e-05    9.23698921e+02    2.40497307e+06    -4.32588751e+05    1.12084467e+04    -1.62191057e+03
    2.21660000e+02    3.27208541e+00    3.19856461e-05    9.23638399e+02    2.40589874e+06    -4.31728687e+05    1.11836857e+04    -1.61802609e+03
    2.22160000e+02    3.48287385e+00    3.39695656e-05    9.23577734e+02    2.40682441e+06    -4.30866834e+05    1.11590448e+04    -1.61414229e+03
    2.22660000e+02    3.70620728e+00    3.60666594e-05    9.23516925e+02    2.40775008e+06    -4.30003192e+05    1.11345233e+04    -1.61025918e+03
    2.23160000e+02    3.94276879e+00    3.82827997e-05    9.23455973e+02    2.40867573e+06    -4.29137758e+05    1.11101203e+04    -1.60637675e+03
    2.23660000e+02    4.19327504e+00    4.06241315e-05    9.23394878e+02    2.40960138e+06    -4.28270532e+05    1.10858351e+04    -1.60249498e+03
    2.24160000e+02    4.45847777e+00    4.30970842e-05    9.23333641e+02    2.41052702e+06    -4.27401515e+05    1.10616669e+04    -1.59861388e+03
    2.24660000e+02    4.73916525e+00    4.57083825e-05    9.23272262e+02    2.41145266e+06    -4.26530704e+05    1.10376148e+04    -1.59473344e+03
    2.25160000e+02    5.03616399e+00    4.84650590e-05    9.23210742e+02    2.41237828e+06    -4.25658100e+05    1.10136781e+04    -1.59085365e+03
    2.25660000e+02    5.35034021e+00    5.13744657e-05    9.23149081e+02    2.41330389e+06    -4.24783702e+05    1.09898561e+04    -1.58697450e+03
    2.26160000e+02    5.68260164e+00    5.44442873e-05    9.23087279e+02    2.41422949e+06    -4.23907508e+05    1.09661479e+04    -1.58309600e+03
    2.26660000e+02    6.03389926e+00    5.76825543e-05    9.23025338e+02    2.41515508e+06    -4.23029519e+05    1.09425528e+04    -1.57921812e+03
    2.27160000e+02    6.40522913e+00    6.10976561e-05    9.22963257e+02    2.41608066e+06    -4.22149733e+05    1.09190701e+04    -1.57534088e+03
    2.27660000e+02    6.79763422e+00    6.46983557e-05    9.22901036e+02    2.41700622e+06    -4.21268150e+05    1.08956989e+04    -1.57146426e+03
    2.28160000e+02    7.21220646e+00    6.84938040e-05    9.22838678e+02    2.41793177e+06    -4.20384769e+05    1.08724386e+04    -1.56758825e+03
    2.28660000e+02    7.65008869e+00    7.24935542e-05    9.22776181e+02    2.41885730e+06    -4.19499589e+05    1.08492885e+04    -1.56371286e+03
    2.29160000e+02    8.11247679e+00    7.67075783e-05    9.22713546e+02    2.41978281e+06    -4.18612611e+05    1.08262477e+04    -1.55983807e+03
    2.29660000e+02    8.60062186e+00    8.11462820e-05    9.22650774e+02    2.42070831e+06    -4.17723832e+05    1.08033157e+04    -1.55596388e+03
    2.30160000e+02    9.11583245e+00    8.58205219e-05    9.22587864e+02    2.42163378e+06    -4.16833253e+05    1.07804916e+04    -1.55209028e+03
    2.30660000e+02    9.65947685e+00    9.07416219e-05    9.22524819e+02    2.42255924e+06    -4.15940873e+05    1.07577747e+04    -1.54821727e+03
    2.31160000e+02    1.02329856e+01    9.59213919e-05    9.22461637e+02    2.42348467e+06    -4.15046691e+05    1.07351644e+04    -1.54434485e+03
    2.31660000e+02    1.08378540e+01    1.01372144e-04    9.22398320e+02    2.42441008e+06    -4.14150707e+05    1.07126600e+04    -1.54047300e+03
    2.32160000e+02    1.14756444e+01    1.07106713e-04    9.22334867e+02    2.42533547e+06    -4.13252919e+05    1.06902607e+04    -1.53660173e+03
    2.32660000e+02    1.21479893e+01    1.13138474e-04    9.22271280e+02    2.42626083e+06    -4.12353328e+05    1.06679659e+04    -1.53273102e+03
    2.33160000e+02    1.28565936e+01    1.19481364e-04    9.22207558e+02    2.42718616e+06    -4.11451932e+05    1.06457750e+04    -1.52886088e+03
    2.33660000e+02    1.36032380e+01    1.26149901e-04    9.22143703e+02    2.42811147e+06    -4.10548731e+05    1.06236871e+04    -1.52499130e+03
    2.34160000e+02    1.43897814e+01    1.33159203e-04    9.22079713e+02    2.42903674e+06    -4.09643724e+05    1.06017017e+04    -1.52112226e+03
    2.34660000e+02    1.52181645e+01    1.40525016e-04    9.22015591e+02    2.42996199e+06    -4.08736911e+05    1.05798181e+04    -1.51725377e+03
    2.35160000e+02    1.60904124e+01    1.48263730e-04    9.21951336e+02    2.43088720e+06    -4.07828292e+05    1.05580357e+04    -1.51338583e+03
    2.35660000e+02    1.70086381e+01    1.56392403e-04    9.21886949e+02    2.43181238e+06    -4.06917864e+05    1.05363538e+04    -1.50951842e+03
    2.36160000e+02    1.79750459e+01    1.64928789e-04    9.21822430e+02    2.43273752e+06    -4.06005629e+05    1.05147717e+04    -1.50565155e+03
    2.36660000e+02    1.89919347e+01    1.73891356e-04    9.21757780e+02    2.43366262e+06    -4.05091584e+05    1.04932888e+04    -1.50178520e+03
    2.37160000e+02    2.00617017e+01    1.83299317e-04    9.21692998e+02    2.43458769e+06    -4.04175731e+05    1.04719044e+04    -1.49791937e+03
    2.37660000e+02    2.11868460e+01    1.93172652e-04    9.21628086e+02    2.43551271e+06    -4.03258067e+05    1.04506180e+04    -1.49405407e+03
    2.38160000e+02    2.23699724e+01    2.03532134e-04    9.21563044e+02    2.43643769e+06    -4.02338593e+05    1.04294290e+04    -1.49018927e+03
    2.38660000e+02    2.36137954e+01    2.14399361e-04    9.21497872e+02    2.43736263e+06    -4.01417307e+05    1.04083366e+04    -1.48632499e+03
    2.39160000e+02    2.49211429e+01    2.25796777e-04    9.21432570e+02    2.43828752e+06    -4.00494210e+05    1.03873403e+04    -1.48246121e+03
    2.39660000e+02    2.62949610e+01    2.37747707e-04    9.21367140e+02    2.43921236e+06    -3.99569300e+05    1.03664394e+04    -1.47859793e+03
    2.40160000e+02    2.77383176e+01    2.50276384e-04    9.21301581e+02    2.44013715e+06    -3.98642578e+05    1.03456335e+04    -1.47473514e+03
    2.40660000e+02    2.92544073e+01    2.63407979e-04    9.21235894e+02    2.44106189e+06    -3.97714042e+05    1.03249217e+04    -1.47087285e+03
    2.41160000e+02    3.08465557e+01    2.77168633e-04    9.21170079e+02    2.44198657e+06    -3.96783692e+05    1.03043037e+04    -1.46701104e+03
    2.41660000e+02    3.25182243e+01    2.91585490e-04    9.21104136e+02    2.44291120e+06    -3.95851527e+05    1.02837787e+04    -1.46314971e+03
    2.42160000e+02    3.42730152e+01    3.06686728e-04    9.21038067e+02    2.44383577e+06    -3.94917547e+05    1.02633462e+04    -1.45928886e+03
    2.42660000e+02    3.61146761e+01    3.22501595e-04    9.20971871e+02    2.44476028e+06    -3.93981751e+05    1.02430056e+04    -1.45542848e+03
    2.43160000e+02    3.80471053e+01    3.39060441e-04    9.20905549e+02    2.44568472e+06    -3.93044138e+05    1.02227564e+04    -1.45156857e+03
    2.43660000e+02    4.00743573e+01    3.56394757e-04    9.20839101e+02    2.44660910e+06    -3.92104709e+05    1.02025979e+04    -1.44770913e+03
    2.44160000e+02    4.22006480e+01    3.74537209e-04    9.20772528e+02    2.44753342e+06    -3.91163463e+05    1.01825296e+04    -1.44385015e+03
    2.44660000e+02    4.44303603e+01    3.93521678e-04    9.20705830e+02    2.44845766e+06    -3.90220398e+05    1.01625509e+04    -1.43999162e+03
    2.45160000e+02    4.67680499e+01    4.13383296e-04    9.20639007e+02    2.44938183e+06    -3.89275515e+05    1.01426613e+04    -1.43613355e+03
    2.45660000e+02    4.92184513e+01    4.34158489e-04    9.20572060e+02    2.45030592e+06    -3.88328812e+05    1.01228602e+04    -1.43227593e+03
    2.46160000e+02    5.17864838e+01    4.55885014e-04    9.20504989e+02    2.45122994e+06    -3.87380290e+05    1.01031470e+04    -1.42841874e+03
    2.46660000e+02    5.44772578e+01    4.78602001e-04    9.20437795e+02    2.45215387e+06    -3.86429948e+05    1.00835213e+04    -1.42456200e+03
    2.47160000e+02    5.72960813e+01    5.02350000e-04    9.20370478e+02    2.45307773e+06    -3.85477785e+05    1.00639824e+04    -1.42070570e+03
    2.47660000e+02    6.02484661e+01    5.27171019e-04    9.20303038e+02    2.45400149e+06    -3.84523801e+05    1.00445299e+04    -1.41684983e+03
    2.48160000e+02    6.33401354e+01    5.53108573e-04    9.20235476e+02    2.45492517e+06    -3.83567995e+05    1.00251631e+04    -1.41299439e+03
    2.48660000e+02    6.65770301e+01    5.80207728e-04    9.20167791e+02    2.45584876e+06    -3.82610366e+05    1.00058816e+04    -1.40913937e+03
    2.49160000e+02    6.99653165e+01    6.08515150e-04    9.20099986e+02    2.45677225e+06    -3.81650915e+05    9.98668491e+03    -1.40528478e+03
    2.49660000e+02    7.35113933e+01    6.38079151e-04    9.20032059e+02    2.45769565e+06    -3.80689641e+05    9.96757240e+03    -1.40143060e+03
    2.50160000e+02    7.72218991e+01    6.68949739e-04    9.19964011e+02    2.45861894e+06    -3.79726543e+05    9.94854359e+03    -1.39757683e+03
    2.50660000e+02    8.11037207e+01    7.01178670e-04    9.19895843e+02    2.45954213e+06    -3.78761620e+05    9.92959797e+03    -1.39372348e+03
    2.51160000e+02    8.51640009e+01    7.34819498e-04    9.19827555e+02    2.46046522e+06    -3.77794872e+05    9.91073502e+03    -1.38987053e+03
    2.51660000e+02    8.94101463e+01    7.69927629e-04    9.19759147e+02    2.46138819e+06    -3.76826300e+05    9.89195425e+03    -1.38601799e+03
    2.52160000e+02    9.38498366e+01    8.06560379e-04    9.19690620e+02    2.46231105e+06    -3.75855901e+05    9.87325514e+03    -1.38216584e+03
    2.52660000e+02    9.84910322e+01    8.44777022e-04    9.19621974e+02    2.46323380e+06    -3.74883676e+05    9.85463720e+03    -1.37831409e+03
    2.53160000e+02    1.03341984e+02    8.84638852e-04    9.19553210e+02    2.46415642e+06    -3.73909624e+05    9.83609994e+03    -1.37446274e+03
    2.53660000e+02    1.08411242e+02    9.26209240e-04    9.19484327e+02    2.46507893e+06    -3.72933745e+05    9.81764286e+03    -1.37061177e+03
    2.54160000e+02    1.13707664e+02    9.69553694e-04    9.19415327e+02    2.46600130e+06    -3.71956038e+05    9.79926547e+03    -1.36676119e+03
    2.54660000e+02    1.19240428e+02    1.01473992e-03    9.19346209e+02    2.46692354e+06    -3.70976503e+05    9.78096730e+03    -1.36291099e+03
    2.55160000e+02    1.25019039e+02    1.06183789e-03    9.19276974e+02    2.46784565e+06    -3.69995138e+05    9.76274785e+03    -1.35906117e+03
    2.55660000e+02    1.31053339e+02    1.11091989e-03    9.19207622e+02    2.46876762e+06    -3.69011945e+05    9.74460666e+03    -1.35521172e+03
    2.56160000e+02    1.37353519e+02    1.16206060e-03    9.19138154e+02    2.46968945e+06    -3.68026922e+05    9.72654324e+03    -1.35136265e+03
    2.56660000e+02    1.43930130e+02    1.21533715e-03    9.19068570e+02    2.47061113e+06    -3.67040069e+05    9.70855713e+03    -1.34751394e+03
    2.57160000e+02    1.50794093e+02    1.27082920e-03    9.18998870e+02    2.47153267e+06    -3.66051385e+05    9.69064786e+03    -1.34366561e+03
    2.57660000e+02    1.57956709e+02    1.32861902e-03    9.18929055e+02    2.47245405e+06    -3.65060870e+05    9.67281497e+03    -1.33981763e+03
    2.58160000e+02    1.65429672e+02    1.38879150e-03    9.18859125e+02    2.47337527e+06    -3.64068523e+05    9.65505800e+03    -1.33597002e+03
    2.58660000e+02    1.73225080e+02    1.45143431e-03    9.18789080e+02    2.47429633e+06    -3.63074345e+05    9.63737648e+03    -1.33212276e+03
    2.59160000e+02    1.81355447e+02    1.51663792e-03    9.18718922e+02    2.47521722e+06    -3.62078333e+05    9.61976997e+03    -1.32827585e+03
    2.59660000e+02    1.89833716e+02    1.58449567e-03    9.18648649e+02    2.47613795e+06    -3.61080489e+05    9.60223802e+03    -1.32442930e+03
    2.60160000e+02    1.98673269e+02    1.65510388e-03    9.18578263e+02    2.47705849e+06    -3.60080812e+05    9.58478017e+03    -1.32058309e+03
    2.60660000e+02    2.07887946e+02    1.72856192e-03    9.18507763e+02    2.47797886e+06    -3.59079300e+05    9.56739598e+03    -1.31673722e+03
    2.61160000e+02    2.17492050e+02    1.80497227e-03    9.18437151e+02    2.47889905e+06    -3.58075955e+05    9.55008502e+03    -1.31289170e+03
    2.61660000e+02    2.27500366e+02    1.88444061e-03    9.18366427e+02    2.47981904e+06    -3.57070774e+05    9.53284684e+03    -1.30904652e+03
    2.62160000e+02    2.37928173e+02    1.96707595e-03    9.18295590e+02    2.48073885e+06    -3.56063759e+05    9.51568102e+03    -1.30520167e+03
    2.62660000e+02    2.48791258e+02    2.05299063e-03    9.18224641e+02    2.48165845e+06    -3.55054907e+05    9.49858710e+03    -1.30135715e+03
    2.63160000e+02    2.60105932e+02    2.14230048e-03    9.18153581e+02    2.48257785e+06    -3.54044220e+05    9.48156468e+03    -1.29751297e+03
    2.63660000e+02    2.71889042e+02    2.23512487e-03    9.18082410e+02    2.48349705e+06    -3.53031696e+05    9.46461332e+03    -1.29366911e+03
    2.64160000e+02    2.84157989e+02    2.33158684e-03    9.18011128e+02    2.48441603e+06    -3.52017336e+05    9.44773260e+03    -1.28982557e+03
    2.64660000e+02    2.96930741e+02    2.43181313e-03    9.17939736e+02    2.48533480e+06    -3.51001138e+05    9.43092210e+03    -1.28598236e+03
    2.65160000e+02    3.10225850e+02    2.53593435e-03    9.17868233e+02    2.48625334e+06    -3.49983102e+05    9.41418140e+03    -1.28213946e+03
    2.65660000e+02    3.24062469e+02    2.64408501e-03    9.17796621e+02    2.48717165e+06    -3.48963228e+05    9.39751008e+03    -1.27829688e+03
    2.66160000e+02    3.38460366e+02    2.75640366e-03    9.17724899e+02    2.48808973e+06    -3.47941515e+05    9.38090775e+03    -1.27445462e+03
    2.66660000e+02    3.53439945e+02    2.87303299e-03    9.17653069e+02    2.48900757e+06    -3.46917964e+05    9.36437398e+03    -1.27061266e+03
    2.67160000e+02    3.69022257e+02    2.99411989e-03    9.17581129e+02    2.48992517e+06    -3.45892573e+05    9.34790837e+03    -1.26677102e+03
    2.67660000e+02    3.85229025e+02    3.11981562e-03    9.17509081e+02    2.49084252e+06    -3.44865342e+05    9.33151051e+03    -1.26292967e+03
    2.68160000e+02    4.02082655e+02    3.25027585e-03    9.17436925e+02    2.49175961e+06    -3.43836270e+05    9.31518002e+03    -1.25908863e+03
    2.68660000e+02    4.19606260e+02    3.38566083e-03    9.17364661e+02    2.49267644e+06    -3.42805358e+05    9.29891648e+03    -1.25524790e+03
    2.69160000e+02    4.37823675e+02    3.52613545e-03    9.17292290e+02    2.49359301e+06    -3.41772605e+05    9.28271951e+03    -1.25140745e+03
    2.69660000e+02    4.56759479e+02    3.67186936e-03    9.17219812e+02    2.49450930e+06    -3.40738011e+05    9.26658871e+03    -1.24756731e+03
    2.70160000e+02    4.76439013e+02    3.82303715e-03    9.17147227e+02    2.49542531e+06    -3.39701575e+05    9.25052369e+03    -1.24372745e+03
    2.70660000e+02    4.96888398e+02    3.97981835e-03    9.17074535e+02    2.49634104e+06    -3.38663296e+05    9.23452406e+03    -1.23988789e+03
    2.71160000e+02    5.18134561e+02    4.14239765e-03    9.17001738e+02    2.49725648e+06    -3.37623174e+05    9.21858943e+03    -1.23604861e+03
    2.71660000e+02    5.40205251e+02    4.31096499e-03    9.16928834e+02    2.49817162e+06    -3.36581210e+05    9.20271944e+03    -1.23220962e+03
    2.72160000e+02    5.63129061e+02    4.48571565e-03    9.16855825e+02    2.49908646e+06    -3.35537402e+05    9.18691369e+03    -1.22837092e+03
    2.72660000e+02    5.86935451e+02    4.66685043e-03    9.16782711e+02    2.50000098e+06    -3.34491750e+05    9.17117180e+03    -1.22453249e+03
    2.73160000e+02    6.11654771e+02    4.85457572e-03    9.16709492e+02    2.50091519e+06    -3.33444254e+05    9.15549341e+03    -1.22069434e+03
