# table for coexisting phases in IAPWS06
nbin_coex    300
temperature_coex_min    1.231600e+02
temperature_coex_max    2.731600e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_ice (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_ice (J / kg)    entropy_vap (J / kg / degK)    entropy_ice (J / kg / degK)
    1.43160000e+02    8.77601233e-07    1.32827150e-11    9.31063522e+02    2.26063296e+06    -5.45385916e+05    1.73581558e+04    -2.24242302e+03
    1.43660000e+02    1.01740921e-06    1.53451495e-11    9.31031357e+02    2.26155775e+06    -5.44794994e+05    1.72963817e+04    -2.23830251e+03
    1.44160000e+02    1.17830127e-06    1.77101766e-11    9.30998979e+02    2.26248255e+06    -5.44202387e+05    1.72350504e+04    -2.23418461e+03
    1.44660000e+02    1.36327584e-06    2.04195702e-11    9.30966386e+02    2.26340735e+06    -5.43608097e+05    1.71741574e+04    -2.23006931e+03
    1.45160000e+02    1.57573163e-06    2.35205033e-11    9.30933581e+02    2.26433216e+06    -5.43012122e+05    1.71136981e+04    -2.22595658e+03
    1.45660000e+02    1.81951758e-06    2.70661988e-11    9.30900562e+02    2.26525697e+06    -5.42414464e+05    1.70536679e+04    -2.22184643e+03
    1.46160000e+02    2.09898838e-06    3.11166487e-11    9.30867330e+02    2.26618178e+06    -5.41815124e+05    1.69940626e+04    -2.21773882e+03
    1.46660000e+02    2.41906660e-06    3.57394168e-11    9.30833885e+02    2.26710660e+06    -5.41214100e+05    1.69348777e+04    -2.21363375e+03
    1.47160000e+02    2.78531173e-06    4.10105266e-11    9.30800227e+02    2.26803143e+06    -5.40611395e+05    1.68761090e+04    -2.20953120e+03
    1.47660000e+02    3.20399703e-06    4.70154458e-11    9.30766357e+02    2.26895625e+06    -5.40007007e+05    1.68177522e+04    -2.20543115e+03
    1.48160000e+02    3.68219502e-06    5.38501768e-11    9.30732275e+02    2.26988109e+06    -5.39400937e+05    1.67598031e+04    -2.20133359e+03
    1.48660000e+02    4.22787232e-06    6.16224628e-11    9.30697981e+02    2.27080593e+06    -5.38793186e+05    1.67022577e+04    -2.19723851e+03
    1.49160000e+02    4.84999506e-06    7.04531214e-11    9.30663476e+02    2.27173077e+06    -5.38183752e+05    1.66451118e+04    -2.19314588e+03
    1.49660000e+02    5.55864571e-06    8.04775175e-11    9.30628759e+02    2.27265561e+06    -5.37572638e+05    1.65883614e+04    -2.18905569e+03
    1.50160000e+02    6.36515250e-06    9.18471894e-11    9.30593831e+02    2.27358047e+06    -5.36959841e+05    1.65320026e+04    -2.18496793e+03
    1.50660000e+02    7.28223277e-06    1.04731642e-10    9.30558693e+02    2.27450532e+06    -5.36345364e+05    1.64760315e+04    -2.18088258e+03
    1.51160000e+02    8.32415161e-06    1.19320322e-10    9.30523344e+02    2.27543018e+06    -5.35729205e+05    1.64204442e+04    -2.17679962e+03
    1.51660000e+02    9.50689710e-06    1.35824795e-10    9.30487785e+02    2.27635505e+06    -5.35111364e+05    1.63652369e+04    -2.17271904e+03
    1.52160000e+02    1.08483740e-05    1.54481140e-10    9.30452016e+02    2.27727992e+06    -5.34491842e+05    1.63104059e+04    -2.16864082e+03
    1.52660000e+02    1.23686175e-05    1.75552581e-10    9.30416037e+02    2.27820479e+06    -5.33870638e+05    1.62559475e+04    -2.16456495e+03
    1.53160000e+02    1.40900291e-05    1.99332379e-10    9.30379849e+02    2.27912967e+06    -5.33247752e+05    1.62018579e+04    -2.16049140e+03
    1.53660000e+02    1.60376361e-05    2.26147006e-10    9.30343453e+02    2.28005456e+06    -5.32623185e+05    1.61481336e+04    -2.15642017e+03
    1.54160000e+02    1.82393781e-05    2.56359633e-10    9.30306848e+02    2.28097945e+06    -5.31996935e+05    1.60947711e+04    -2.15235124e+03
