# table for melting phases in IAPWS06
nbin_melt    300
pressure_melt_min    6.116548e+02
pressure_melt_max    2.100000e+08
# pressure (Pa)    temperature (degK)    mden_liq (kg / m^3)    mden_ice (kg / m^3)    enthalpy_liq (J / kg)    enthalpy_ice (J / kg)    entropy_liq (J / kg / degK)    entropy_ice (J / kg / degK)
    3.20736989e+03    2.73159807e+02    9.99793828e+02    9.16709801e+02    2.44279161e+00    -3.33441950e+05    -2.80144412e-03    -1.22069627e+03
    3.34658164e+03    2.73159797e+02    9.99793898e+02    9.16709817e+02    2.54099077e+00    -3.33441827e+05    -2.95169054e-03    -1.22069638e+03
    3.49183570e+03    2.73159786e+02    9.99793971e+02    9.16709835e+02    2.64345209e+00    -3.33441698e+05    -3.10845848e-03    -1.22069648e+03
    3.64339432e+03    2.73159775e+02    9.99794047e+02    9.16709853e+02    2.75036044e+00    -3.33441563e+05    -3.27203118e-03    -1.22069660e+03
    3.80153115e+03    2.73159763e+02    9.99794127e+02    9.16709871e+02    2.86190906e+00    -3.33441423e+05    -3.44270328e-03    -1.22069671e+03
    3.96653171e+03    2.73159751e+02    9.99794210e+02    9.16709891e+02    2.97829932e+00    -3.33441276e+05    -3.62078326e-03    -1.22069684e+03
    4.13869390e+03    2.73159738e+02    9.99794297e+02    9.16709911e+02    3.09974114e+00    -3.33441124e+05    -3.80659316e-03    -1.22069697e+03
    4.31832857e+03    2.73159725e+02    9.99794387e+02    9.16709933e+02    3.22645398e+00    -3.33440964e+05    -4.00046794e-03    -1.22069710e+03
    4.50576004e+03    2.73159711e+02    9.99794482e+02    9.16709955e+02    3.35866657e+00    -3.33440798e+05    -4.20275779e-03    -1.22069724e+03
    4.70132675e+03    2.73159696e+02    9.99794580e+02    9.16709978e+02    3.49661768e+00    -3.33440624e+05    -4.41382763e-03    -1.22069738e+03
    4.90538177e+03    2.73159681e+02    9.99794683e+02    9.16710003e+02    3.64055623e+00    -3.33440443e+05    -4.63405923e-03    -1.22069754e+03
    5.11829353e+03    2.73159665e+02    9.99794790e+02    9.16710028e+02    3.79074210e+00    -3.33440254e+05    -4.86385013e-03    -1.22069769e+03
    5.34044646e+03    2.73159649e+02    9.99794902e+02    9.16710054e+02    3.94744650e+00    -3.33440057e+05    -5.10361504e-03    -1.22069786e+03
    5.57224164e+03    2.73159632e+02    9.99795019e+02    9.16710082e+02    4.11095222e+00    -3.33439851e+05    -5.35378737e-03    -1.22069803e+03
    5.81409760e+03    2.73159614e+02    9.99795141e+02    9.16710111e+02    4.28155473e+00    -3.33439637e+05    -5.61481802e-03    -1.22069821e+03
    6.06645101e+03    2.73159595e+02    9.99795268e+02    9.16710141e+02    4.45956180e+00    -3.33439413e+05    -5.88717896e-03    -1.22069840e+03
    6.32975748e+03    2.73159575e+02    9.99795401e+02    9.16710172e+02    4.64529496e+00    -3.33439179e+05    -6.17136177e-03    -1.22069860e+03
    6.60449244e+03    2.73159555e+02    9.99795539e+02    9.16710205e+02    4.83908943e+00    -3.33438935e+05    -6.46787955e-03    -1.22069880e+03
    6.89115191e+03    2.73159534e+02    9.99795684e+02    9.16710239e+02    5.04129532e+00    -3.33438681e+05    -6.77726722e-03    -1.22069901e+03
    7.19025347e+03    2.73159511e+02    9.99795834e+02    9.16710274e+02    5.25227717e+00    -3.33438415e+05    -7.10008522e-03    -1.22069924e+03
    7.50233714e+03    2.73159488e+02    9.99795992e+02    9.16710311e+02    5.47241653e+00    -3.33438138e+05    -7.43691423e-03    -1.22069947e+03
    7.82796640e+03    2.73159464e+02    9.99796156e+02    9.16710350e+02    5.70211015e+00    -3.33437849e+05    -7.78836473e-03    -1.22069971e+03
    8.16772918e+03    2.73159439e+02    9.99796327e+02    9.16710390e+02    5.94177342e+00    -3.33437548e+05    -8.15506904e-03    -1.22069996e+03
    8.52223893e+03    2.73159413e+02    9.99796505e+02    9.16710432e+02    6.19183856e+00    -3.33437233e+05    -8.53769101e-03    -1.22070023e+03
    8.89213571e+03    2.73159385e+02    9.99796692e+02    9.16710476e+02    6.45275699e+00    -3.33436905e+05    -8.93692153e-03    -1.22070050e+03
    9.27808739e+03    2.73159356e+02    9.99796886e+02    9.16710522e+02    6.72500028e+00    -3.33436562e+05    -9.35348008e-03    -1.22070079e+03
    9.68079080e+03    2.73159326e+02    9.99797089e+02    9.16710570e+02    7.00905944e+00    -3.33436205e+05    -9.78812029e-03    -1.22070109e+03
    1.01009730e+04    2.73159295e+02    9.99797301e+02    9.16710620e+02    7.30544721e+00    -3.33435832e+05    -1.02416273e-02    -1.22070140e+03
    1.05393927e+04    2.73159263e+02    9.99797522e+02    9.16710672e+02    7.61469905e+00    -3.33435443e+05    -1.07148189e-02    -1.22070173e+03
    1.09968415e+04    2.73159229e+02    9.99797752e+02    9.16710727e+02    7.93737304e+00    -3.33435037e+05    -1.12085505e-02    -1.22070207e+03
    1.14741452e+04    2.73159193e+02    9.99797993e+02    9.16710783e+02    8.27405210e+00    -3.33434613e+05    -1.17237122e-02    -1.22070243e+03
    1.19721657e+04    2.73159156e+02    9.99798243e+02    9.16710843e+02    8.62534353e+00    -3.33434171e+05    -1.22612361e-02    -1.22070280e+03
    1.24918021e+04    2.73159118e+02    9.99798505e+02    9.16710904e+02    8.99188180e+00    -3.33433710e+05    -1.28220921e-02    -1.22070318e+03
    1.30339926e+04    2.73159077e+02    9.99798778e+02    9.16710969e+02    9.37432854e+00    -3.33433229e+05    -1.34072933e-02    -1.22070359e+03
    1.35997162e+04    2.73159035e+02    9.99799063e+02    9.16711036e+02    9.77337414e+00    -3.33432727e+05    -1.40178964e-02    -1.22070401e+03
    1.41899944e+04    2.73158992e+02    9.99799361e+02    9.16711106e+02    1.01897394e+01    -3.33432203e+05    -1.46550032e-02    -1.22070445e+03
    1.48058928e+04    2.73158946e+02    9.99799671e+02    9.16711179e+02    1.06241754e+01    -3.33431656e+05    -1.53197661e-02    -1.22070491e+03
    1.54485234e+04    2.73158898e+02    9.99799995e+02    9.16711256e+02    1.10774662e+01    -3.33431086e+05    -1.60133859e-02    -1.22070538e+03
    1.61190467e+04    2.73158848e+02    9.99800333e+02    9.16711335e+02    1.15504312e+01    -3.33430491e+05    -1.67371121e-02    -1.22070588e+03
    1.68186731e+04    2.73158796e+02    9.99800685e+02    9.16711419e+02    1.20439234e+01    -3.33429870e+05    -1.74922547e-02    -1.22070640e+03
    1.75486659e+04    2.73158742e+02    9.99801053e+02    9.16711505e+02    1.25588338e+01    -3.33429222e+05    -1.82801768e-02    -1.22070695e+03
    1.83103431e+04    2.73158686e+02    9.99801437e+02    9.16711596e+02    1.30960916e+01    -3.33428546e+05    -1.91023025e-02    -1.22070752e+03
    1.91050799e+04    2.73158627e+02    9.99801837e+02    9.16711690e+02    1.36566677e+01    -3.33427841e+05    -1.99601131e-02    -1.22070811e+03
    1.99343112e+04    2.73158565e+02    9.99802255e+02    9.16711789e+02    1.42415727e+01    -3.33427105e+05    -2.08551628e-02    -1.22070872e+03
    2.07995343e+04    2.73158501e+02    9.99802691e+02    9.16711892e+02    1.48518635e+01    -3.33426337e+05    -2.17890643e-02    -1.22070937e+03
    2.17023112e+04    2.73158434e+02    9.99803145e+02    9.16711999e+02    1.54886414e+01    -3.33425536e+05    -2.27635059e-02    -1.22071004e+03
    2.26442720e+04    2.73158364e+02    9.99803620e+02    9.16712111e+02    1.61530560e+01    -3.33424700e+05    -2.37802473e-02    -1.22071074e+03
    2.36271174e+04    2.73158291e+02    9.99804115e+02    9.16712228e+02    1.68463066e+01    -3.33423828e+05    -2.48411252e-02    -1.22071147e+03
    2.46526220e+04    2.73158215e+02    9.99804632e+02    9.16712350e+02    1.75696450e+01    -3.33422918e+05    -2.59480543e-02    -1.22071224e+03
    2.57226372e+04    2.73158135e+02    9.99805171e+02    9.16712477e+02    1.83243756e+01    -3.33421968e+05    -2.71030386e-02    -1.22071303e+03
    2.68390951e+04    2.73158052e+02    9.99805733e+02    9.16712610e+02    1.91118621e+01    -3.33420977e+05    -2.83081600e-02    -1.22071386e+03
    2.80040114e+04    2.73157966e+02    9.99806320e+02    9.16712748e+02    1.99335255e+01    -3.33419943e+05    -2.95655964e-02    -1.22071473e+03
    2.92194894e+04    2.73157875e+02    9.99806932e+02    9.16712893e+02    2.07908491e+01    -3.33418864e+05    -3.08776198e-02    -1.22071564e+03
    3.04877236e+04    2.73157781e+02    9.99807571e+02    9.16713043e+02    2.16853802e+01    -3.33417739e+05    -3.22465998e-02    -1.22071658e+03
    3.18110039e+04    2.73157683e+02    9.99808238e+02    9.16713201e+02    2.26187334e+01    -3.33416564e+05    -3.36750101e-02    -1.22071757e+03
    3.31917195e+04    2.73157580e+02    9.99808934e+02    9.16713365e+02    2.35925936e+01    -3.33415339e+05    -3.51654305e-02    -1.22071859e+03
    3.46323632e+04    2.73157473e+02    9.99809659e+02    9.16713536e+02    2.46087186e+01    -3.33414061e+05    -3.67205537e-02    -1.22071967e+03
    3.61355363e+04    2.73157362e+02    9.99810417e+02    9.16713715e+02    2.56689422e+01    -3.33412727e+05    -3.83431895e-02    -1.22072079e+03
    3.77039526e+04    2.73157245e+02    9.99811207e+02    9.16713901e+02    2.67751781e+01    -3.33411335e+05    -4.00362693e-02    -1.22072195e+03
    3.93404440e+04    2.73157124e+02    9.99812031e+02    9.16714096e+02    2.79294232e+01    -3.33409882e+05    -4.18028519e-02    -1.22072317e+03
    4.10479652e+04    2.73156997e+02    9.99812891e+02    9.16714299e+02    2.91337605e+01    -3.33408367e+05    -4.36461292e-02    -1.22072444e+03
    4.28295992e+04    2.73156865e+02    9.99813789e+02    9.16714510e+02    3.03903637e+01    -3.33406786e+05    -4.55694317e-02    -1.22072577e+03
    4.46885627e+04    2.73156726e+02    9.99814725e+02    9.16714731e+02    3.17015006e+01    -3.33405136e+05    -4.75762345e-02    -1.22072715e+03
    4.66282121e+04    2.73156582e+02    9.99815703e+02    9.16714962e+02    3.30695378e+01    -3.33403414e+05    -4.96701639e-02    -1.22072860e+03
    4.86520494e+04    2.73156432e+02    9.99816722e+02    9.16715203e+02    3.44969441e+01    -3.33401618e+05    -5.18550034e-02    -1.22073010e+03
    5.07637289e+04    2.73156275e+02    9.99817786e+02    9.16715454e+02    3.59862955e+01    -3.33399744e+05    -5.41347014e-02    -1.22073168e+03
    5.29670630e+04    2.73156112e+02    9.99818896e+02    9.16715715e+02    3.75402799e+01    -3.33397789e+05    -5.65133774e-02    -1.22073332e+03
    5.52660300e+04    2.73155941e+02    9.99820054e+02    9.16715989e+02    3.91617016e+01    -3.33395749e+05    -5.89953301e-02    -1.22073503e+03
    5.76647807e+04    2.73155763e+02    9.99821262e+02    9.16716274e+02    4.08534868e+01    -3.33393620e+05    -6.15850453e-02    -1.22073681e+03
    6.01676461e+04    2.73155577e+02    9.99822523e+02    9.16716571e+02    4.26186882e+01    -3.33391399e+05    -6.42872034e-02    -1.22073868e+03
    6.27791452e+04    2.73155383e+02    9.99823839e+02    9.16716882e+02    4.44604913e+01    -3.33389081e+05    -6.71066884e-02    -1.22074062e+03
    6.55039930e+04    2.73155180e+02    9.99825212e+02    9.16717206e+02    4.63822196e+01    -3.33386663e+05    -7.00485964e-02    -1.22074265e+03
    6.83471092e+04    2.73154969e+02    9.99826644e+02    9.16717544e+02    4.83873408e+01    -3.33384139e+05    -7.31182452e-02    -1.22074477e+03
    7.13136273e+04    2.73154749e+02    9.99828138e+02    9.16717896e+02    5.04794727e+01    -3.33381507e+05    -7.63211840e-02    -1.22074698e+03
    7.44089033e+04    2.73154519e+02    9.99829697e+02    9.16718264e+02    5.26623904e+01    -3.33378760e+05    -7.96632027e-02    -1.22074928e+03
    7.76385257e+04    2.73154279e+02    9.99831324e+02    9.16718648e+02    5.49400324e+01    -3.33375894e+05    -8.31503436e-02    -1.22075169e+03
    8.10083257e+04    2.73154029e+02    9.99833022e+02    9.16719048e+02    5.73165083e+01    -3.33372903e+05    -8.67889111e-02    -1.22075420e+03
    8.45243876e+04    2.73153767e+02    9.99834793e+02    9.16719466e+02    5.97961054e+01    -3.33369783e+05    -9.05854843e-02    -1.22075681e+03
    8.81930596e+04    2.73153495e+02    9.99836641e+02    9.16719902e+02    6.23832975e+01    -3.33366527e+05    -9.45469280e-02    -1.22075955e+03
    9.20209655e+04    2.73153210e+02    9.99838569e+02    9.16720357e+02    6.50827519e+01    -3.33363130e+05    -9.86804056e-02    -1.22076240e+03
    9.60150168e+04    2.73152914e+02    9.99840581e+02    9.16720832e+02    6.78993384e+01    -3.33359585e+05    -1.02993392e-01    -1.22076537e+03
    1.00182425e+05    2.73152604e+02    9.99842681e+02    9.16721328e+02    7.08381381e+01    -3.33355887e+05    -1.07493689e-01    -1.22076847e+03
    1.04530714e+05    2.73152281e+02    9.99844871e+02    9.16721844e+02    7.39044519e+01    -3.33352028e+05    -1.12189435e-01    -1.22077171e+03
    1.09067734e+05    2.73151944e+02    9.99847156e+02    9.16722384e+02    7.71038111e+01    -3.33348002e+05    -1.17089123e-01    -1.22077509e+03
    1.13801679e+05    2.73151592e+02    9.99849541e+02    9.16722946e+02    8.04419863e+01    -3.33343801e+05    -1.22201619e-01    -1.22077861e+03
    1.18741094e+05    2.73151225e+02    9.99852029e+02    9.16723533e+02    8.39249983e+01    -3.33339417e+05    -1.27536169e-01    -1.22078229e+03
    1.23894897e+05    2.73150842e+02    9.99854625e+02    9.16724146e+02    8.75591291e+01    -3.33334844e+05    -1.33102428e-01    -1.22078613e+03
    1.29272396e+05    2.73150443e+02    9.99857334e+02    9.16724785e+02    9.13509327e+01    -3.33330072e+05    -1.38910465e-01    -1.22079013e+03
    1.34883297e+05    2.73150026e+02    9.99860160e+02    9.16725452e+02    9.53072471e+01    -3.33325092e+05    -1.44970792e-01    -1.22079431e+03
    1.40737733e+05    2.73149591e+02    9.99863109e+02    9.16726148e+02    9.94352068e+01    -3.33319897e+05    -1.51294377e-01    -1.22079867e+03
    1.46846272e+05    2.73149137e+02    9.99866186e+02    9.16726874e+02    1.03742255e+02    -3.33314476e+05    -1.57892665e-01    -1.22080322e+03
    1.53219945e+05    2.73148663e+02    9.99869396e+02    9.16727632e+02    1.08236159e+02    -3.33308820e+05    -1.64777600e-01    -1.22080797e+03
    1.59870259e+05    2.73148169e+02    9.99872746e+02    9.16728422e+02    1.12925019e+02    -3.33302919e+05    -1.71961646e-01    -1.22081292e+03
    1.66809222e+05    2.73147654e+02    9.99876241e+02    9.16729247e+02    1.17817291e+02    -3.33296761e+05    -1.79457812e-01    -1.22081809e+03
    1.74049361e+05    2.73147115e+02    9.99879888e+02    9.16730108e+02    1.22921792e+02    -3.33290336e+05    -1.87279670e-01    -1.22082348e+03
    1.81603748e+05    2.73146554e+02    9.99883693e+02    9.16731005e+02    1.28247726e+02    -3.33283632e+05    -1.95441388e-01    -1.22082911e+03
    1.89486025e+05    2.73145968e+02    9.99887663e+02    9.16731942e+02    1.33804692e+02    -3.33276638e+05    -2.03957747e-01    -1.22083498e+03
    1.97710421e+05    2.73145357e+02    9.99891805e+02    9.16732920e+02    1.39602706e+02    -3.33269339e+05    -2.12844175e-01    -1.22084111e+03
    2.06291787e+05    2.73144719e+02    9.99896127e+02    9.16733940e+02    1.45652217e+02    -3.33261725e+05    -2.22116774e-01    -1.22084750e+03
    2.15245616e+05    2.73144054e+02    9.99900636e+02    9.16735004e+02    1.51964128e+02    -3.33253779e+05    -2.31792345e-01    -1.22085417e+03
    2.24588074e+05    2.73143359e+02    9.99905342e+02    9.16736115e+02    1.58549812e+02    -3.33245489e+05    -2.41888424e-01    -1.22086113e+03
    2.34336029e+05    2.73142635e+02    9.99910251e+02    9.16737273e+02    1.65421136e+02    -3.33236839e+05    -2.52423311e-01    -1.22086839e+03
    2.44507082e+05    2.73141879e+02    9.99915374e+02    9.16738482e+02    1.72590479e+02    -3.33227814e+05    -2.63416106e-01    -1.22087596e+03
    2.55119597e+05    2.73141090e+02    9.99920718e+02    9.16739743e+02    1.80070757e+02    -3.33218397e+05    -2.74886741e-01    -1.22088387e+03
    2.66192734e+05    2.73140266e+02    9.99926295e+02    9.16741060e+02    1.87875444e+02    -3.33208571e+05    -2.86856020e-01    -1.22089212e+03
    2.77746486e+05    2.73139407e+02    9.99932113e+02    9.16742433e+02    1.96018598e+02    -3.33198319e+05    -2.99345654e-01    -1.22090073e+03
    2.89801714e+05    2.73138511e+02    9.99938184e+02    9.16743866e+02    2.04514883e+02    -3.33187622e+05    -3.12378305e-01    -1.22090971e+03
    3.02380183e+05    2.73137576e+02    9.99944518e+02    9.16745361e+02    2.13379599e+02    -3.33176461e+05    -3.25977621e-01    -1.22091908e+03
    3.15504605e+05    2.73136600e+02    9.99951128e+02    9.16746921e+02    2.22628708e+02    -3.33164816e+05    -3.40168287e-01    -1.22092886e+03
    3.29198675e+05    2.73135582e+02    9.99958023e+02    9.16748548e+02    2.32278862e+02    -3.33152665e+05    -3.54976067e-01    -1.22093906e+03
    3.43487119e+05    2.73134519e+02    9.99965218e+02    9.16750247e+02    2.42347430e+02    -3.33139987e+05    -3.70427851e-01    -1.22094971e+03
    3.58395734e+05    2.73133410e+02    9.99972726e+02    9.16752019e+02    2.52852535e+02    -3.33126759e+05    -3.86551705e-01    -1.22096082e+03
    3.73951438e+05    2.73132253e+02    9.99980558e+02    9.16753867e+02    2.63813083e+02    -3.33112957e+05    -4.03376925e-01    -1.22097241e+03
    3.90182318e+05    2.73131046e+02    9.99988731e+02    9.16755797e+02    2.75248795e+02    -3.33098556e+05    -4.20934087e-01    -1.22098451e+03
    4.07117678e+05    2.73129786e+02    9.99997258e+02    9.16757809e+02    2.87180246e+02    -3.33083531e+05    -4.39255109e-01    -1.22099713e+03
    4.24788095e+05    2.73128471e+02    1.00000616e+03    9.16759910e+02    2.99628897e+02    -3.33067853e+05    -4.58373306e-01    -1.22101030e+03
    4.43225474e+05    2.73127100e+02    1.00001544e+03    9.16762101e+02    3.12617137e+02    -3.33051495e+05    -4.78323452e-01    -1.22102404e+03
    4.62463104e+05    2.73125668e+02    1.00002512e+03    9.16764387e+02    3.26168324e+02    -3.33034427e+05    -4.99141848e-01    -1.22103838e+03
    4.82535718e+05    2.73124175e+02    1.00003523e+03    9.16766773e+02    3.40306819e+02    -3.33016619e+05    -5.20866388e-01    -1.22105334e+03
    5.03479558e+05    2.73122616e+02    1.00004577e+03    9.16769262e+02    3.55058039e+02    -3.32998038e+05    -5.43536626e-01    -1.22106896e+03
    5.25332439e+05    2.73120990e+02    1.00005677e+03    9.16771860e+02    3.70448494e+02    -3.32978650e+05    -5.67193855e-01    -1.22108525e+03
    5.48133816e+05    2.73119293e+02    1.00006825e+03    9.16774570e+02    3.86505839e+02    -3.32958422e+05    -5.91881181e-01    -1.22110225e+03
    5.71924856e+05    2.73117522e+02    1.00008023e+03    9.16777397e+02    4.03258921e+02    -3.32937316e+05    -6.17643607e-01    -1.22111999e+03
    5.96748517e+05    2.73115674e+02    1.00009272e+03    9.16780347e+02    4.20737831e+02    -3.32915295e+05    -6.44528112e-01    -1.22113850e+03
    6.22649616e+05    2.73113745e+02    1.00010576e+03    9.16783426e+02    4.38973954e+02    -3.32892318e+05    -6.72583744e-01    -1.22115781e+03
    6.49674919e+05    2.73111733e+02    1.00011936e+03    9.16786638e+02    4.58000030e+02    -3.32868344e+05    -7.01861709e-01    -1.22117797e+03
    6.77873221e+05    2.73109633e+02    1.00013356e+03    9.16789989e+02    4.77850207e+02    -3.32843330e+05    -7.32415472e-01    -1.22119900e+03
    7.07295433e+05    2.73107441e+02    1.00014836e+03    9.16793486e+02    4.98560104e+02    -3.32817231e+05    -7.64300850e-01    -1.22122095e+03
    7.37994679e+05    2.73105155e+02    1.00016381e+03    9.16797134e+02    5.20166871e+02    -3.32790000e+05    -7.97576126e-01    -1.22124385e+03
    7.70026385e+05    2.73102768e+02    1.00017993e+03    9.16800941e+02    5.42709257e+02    -3.32761588e+05    -8.32302154e-01    -1.22126774e+03
    8.03448387e+05    2.73100278e+02    1.00019675e+03    9.16804913e+02    5.66227678e+02    -3.32731943e+05    -8.68542476e-01    -1.22129268e+03
    8.38321028e+05    2.73097679e+02    1.00021430e+03    9.16809057e+02    5.90764285e+02    -3.32701013e+05    -9.06363444e-01    -1.22131870e+03
    8.74707270e+05    2.73094967e+02    1.00023261e+03    9.16813381e+02    6.16363041e+02    -3.32668740e+05    -9.45834343e-01    -1.22134585e+03
    9.12672810e+05    2.73092137e+02    1.00025171e+03    9.16817893e+02    6.43069797e+02    -3.32635068e+05    -9.87027527e-01    -1.22137419e+03
    9.52286196e+05    2.73089184e+02    1.00027164e+03    9.16822601e+02    6.70932371e+02    -3.32599936e+05    -1.03001856e+00    -1.22140376e+03
    9.93618949e+05    2.73086101e+02    1.00029243e+03    9.16827513e+02    7.00000633e+02    -3.32563279e+05    -1.07488634e+00    -1.22143461e+03
    1.03674570e+06    2.73082885e+02    1.00031413e+03    9.16832638e+02    7.30326590e+02    -3.32525033e+05    -1.12171330e+00    -1.22146681e+03
    1.08174431e+06    2.73079528e+02    1.00033676e+03    9.16837986e+02    7.61964480e+02    -3.32485128e+05    -1.17058550e+00    -1.22150041e+03
    1.12869602e+06    2.73076025e+02    1.00036038e+03    9.16843565e+02    7.94970863e+02    -3.32443493e+05    -1.22159284e+00    -1.22153547e+03
    1.17768562e+06    2.73072369e+02    1.00038502e+03    9.16849387e+02    8.29404719e+02    -3.32400052e+05    -1.27482924e+00    -1.22157206e+03
