# table for melting phases in IAPWS06
nbin_melt    300
pressure_melt_min    6.116548e+02
pressure_melt_max    2.100000e+08
# pressure (Pa)    temperature (degK)    mden_liq (kg / m^3)    mden_ice (kg / m^3)    enthalpy_liq (J / kg)    enthalpy_ice (J / kg)    entropy_liq (J / kg / degK)    entropy_ice (J / kg / degK)
    1.22880154e+06    2.73068554e+02    1.00041073e+03    9.16855461e+02    8.65327552e+02    -3.32354727e+05    -1.33039279e+00    -1.22161025e+03
    1.28213609e+06    2.73064572e+02    1.00043755e+03    9.16861799e+02    9.02803495e+02    -3.32307437e+05    -1.38838594e+00    -1.22165009e+03
    1.33778555e+06    2.73060416e+02    1.00046553e+03    9.16868412e+02    9.41899422e+02    -3.32258096e+05    -1.44891574e+00    -1.22169168e+03
    1.39585040e+06    2.73056079e+02    1.00049472e+03    9.16875311e+02    9.82685061e+02    -3.32206616e+05    -1.51209402e+00    -1.22173507e+03
    1.45643549e+06    2.73051552e+02    1.00052518e+03    9.16882510e+02    1.02523311e+03    -3.32152904e+05    -1.57803763e+00    -1.22178036e+03
    1.51965019e+06    2.73046828e+02    1.00055696e+03    9.16890022e+02    1.06961939e+03    -3.32096864e+05    -1.64686862e+00    -1.22182762e+03
    1.58560865e+06    2.73041897e+02    1.00059011e+03    9.16897859e+02    1.11592291e+03    -3.32038393e+05    -1.71871455e+00    -1.22187694e+03
    1.65442995e+06    2.73036751e+02    1.00062470e+03    9.16906037e+02    1.16422607e+03    -3.31977388e+05    -1.79370872e+00    -1.22192841e+03
    1.72623834e+06    2.73031380e+02    1.00066079e+03    9.16914569e+02    1.21461477e+03    -3.31913739e+05    -1.87199040e+00    -1.22198212e+03
    1.80116349e+06    2.73025774e+02    1.00069844e+03    9.16923471e+02    1.26717857e+03    -3.31847330e+05    -1.95370517e+00    -1.22203818e+03
    1.87934067e+06    2.73019923e+02    1.00073772e+03    9.16932760e+02    1.32201081e+03    -3.31778044e+05    -2.03900515e+00    -1.22209669e+03
    1.96091102e+06    2.73013816e+02    1.00077870e+03    9.16942452e+02    1.37920879e+03    -3.31705754e+05    -2.12804937e+00    -1.22215774e+03
    2.04602184e+06    2.73007442e+02    1.00082145e+03    9.16952564e+02    1.43887395e+03    -3.31630331e+05    -2.22100405e+00    -1.22222147e+03
    2.13482677e+06    2.73000788e+02    1.00086605e+03    9.16963115e+02    1.50111200e+03    -3.31551640e+05    -2.31804294e+00    -1.22228797e+03
    2.22748618e+06    2.72993843e+02    1.00091258e+03    9.16974123e+02    1.56603314e+03    -3.31469540e+05    -2.41934772e+00    -1.22235738e+03
    2.32416734e+06    2.72986594e+02    1.00096113e+03    9.16985609e+02    1.63375221e+03    -3.31383881e+05    -2.52510830e+00    -1.22242983e+03
    2.42504482e+06    2.72979027e+02    1.00101177e+03    9.16997594e+02    1.70438889e+03    -3.31294512e+05    -2.63552328e+00    -1.22250543e+03
    2.53030076e+06    2.72971127e+02    1.00106461e+03    9.17010098e+02    1.77806790e+03    -3.31201270e+05    -2.75080035e+00    -1.22258435e+03
    2.64012520e+06    2.72962882e+02    1.00111973e+03    9.17023144e+02    1.85491921e+03    -3.31103990e+05    -2.87115669e+00    -1.22266671e+03
    2.75471643e+06    2.72954274e+02    1.00117723e+03    9.17036757e+02    1.93507825e+03    -3.31002496e+05    -2.99681947e+00    -1.22275268e+03
    2.87428134e+06    2.72945289e+02    1.00123722e+03    9.17050960e+02    2.01868613e+03    -3.30896606e+05    -3.12802628e+00    -1.22284240e+03
    2.99903582e+06    2.72935908e+02    1.00129980e+03    9.17065779e+02    2.10588984e+03    -3.30786130e+05    -3.26502569e+00    -1.22293606e+03
    3.12920510e+06    2.72926115e+02    1.00136508e+03    9.17081241e+02    2.19684256e+03    -3.30670870e+05    -3.40807777e+00    -1.22303381e+03
    3.26502420e+06    2.72915892e+02    1.00143319e+03    9.17097373e+02    2.29170383e+03    -3.30550620e+05    -3.55745460e+00    -1.22313584e+03
    3.40673837e+06    2.72905218e+02    1.00150423e+03    9.17114205e+02    2.39063985e+03    -3.30425163e+05    -3.71344094e+00    -1.22324235e+03
    3.55460345e+06    2.72894075e+02    1.00157835e+03    9.17131767e+02    2.49382371e+03    -3.30294275e+05    -3.87633477e+00    -1.22335352e+03
    3.70888643e+06    2.72882440e+02    1.00165566e+03    9.17150091e+02    2.60143570e+03    -3.30157722e+05    -4.04644801e+00    -1.22346957e+03
    3.86986586e+06    2.72870293e+02    1.00173631e+03    9.17169209e+02    2.71366359e+03    -3.30015259e+05    -4.22410718e+00    -1.22359071e+03
    4.03783239e+06    2.72857609e+02    1.00182044e+03    9.17189156e+02    2.83070287e+03    -3.29866630e+05    -4.40965412e+00    -1.22371717e+03
    4.21308929e+06    2.72844366e+02    1.00190820e+03    9.17209968e+02    2.95275714e+03    -3.29711571e+05    -4.60344677e+00    -1.22384918e+03
    4.39595300e+06    2.72830537e+02    1.00199975e+03    9.17231683e+02    3.08003832e+03    -3.29549803e+05    -4.80585998e+00    -1.22398699e+03
    4.58675366e+06    2.72816097e+02    1.00209524e+03    9.17254339e+02    3.21276707e+03    -3.29381038e+05    -5.01728637e+00    -1.22413085e+03
    4.78583579e+06    2.72801018e+02    1.00219485e+03    9.17277977e+02    3.35117307e+03    -3.29204973e+05    -5.23813720e+00    -1.22428105e+03
    4.99355882e+06    2.72785271e+02    1.00229876e+03    9.17302640e+02    3.49549537e+03    -3.29021295e+05    -5.46884337e+00    -1.22443785e+03
    5.21029779e+06    2.72768826e+02    1.00240714e+03    9.17328373e+02    3.64598275e+03    -3.28829674e+05    -5.70985637e+00    -1.22460155e+03
    5.43644404e+06    2.72751652e+02    1.00252018e+03    9.17355221e+02    3.80289410e+03    -3.28629770e+05    -5.96164939e+00    -1.22477247e+03
    5.67240588e+06    2.72733715e+02    1.00263809e+03    9.17383232e+02    3.96649877e+03    -3.28421226e+05    -6.22471843e+00    -1.22495092e+03
    5.91860934e+06    2.72714981e+02    1.00276108e+03    9.17412458e+02    4.13707699e+03    -3.28203669e+05    -6.49958346e+00    -1.22513724e+03
    6.17549894e+06    2.72695413e+02    1.00288936e+03    9.17442950e+02    4.31492023e+03    -3.27976712e+05    -6.78678970e+00    -1.22533179e+03
    6.44353850e+06    2.72674975e+02    1.00302316e+03    9.17474764e+02    4.50033164e+03    -3.27739951e+05    -7.08690898e+00    -1.22553493e+03
    6.72321198e+06    2.72653624e+02    1.00316271e+03    9.17507957e+02    4.69362650e+03    -3.27492964e+05    -7.40054108e+00    -1.22574705e+03
    7.01502432e+06    2.72631321e+02    1.00330825e+03    9.17542588e+02    4.89513245e+03    -3.27235312e+05    -7.72831570e+00    -1.22596855e+03
    7.31950240e+06    2.72608022e+02    1.00346005e+03    9.17578719e+02    5.10519048e+03    -3.26966536e+05    -8.07089229e+00    -1.22619986e+03
    7.63719595e+06    2.72583680e+02    1.00361836e+03    9.17616416e+02    5.32415467e+03    -3.26686160e+05    -8.42896433e+00    -1.22644141e+03
    7.96867859e+06    2.72558248e+02    1.00378347e+03    9.17655746e+02    5.55239308e+03    -3.26393686e+05    -8.80325935e+00    -1.22669368e+03
    8.31454880e+06    2.72531675e+02    1.00395566e+03    9.17696780e+02    5.79028816e+03    -3.26088594e+05    -9.19454128e+00    -1.22695715e+03
    8.67543106e+06    2.72503909e+02    1.00413524e+03    9.17739591e+02    6.03823722e+03    -3.25770344e+05    -9.60361240e+00    -1.22723231e+03
    9.05197695e+06    2.72474895e+02    1.00432250e+03    9.17784256e+02    6.29665289e+03    -3.25438372e+05    -1.00313155e+01    -1.22751972e+03
    9.44486633e+06    2.72444574e+02    1.00451779e+03    9.17830856e+02    6.56596367e+03    -3.25092090e+05    -1.04785361e+01    -1.22781992e+03
    9.85480856e+06    2.72412885e+02    1.00472144e+03    9.17879473e+02    6.84661444e+03    -3.24730886e+05    -1.09462048e+01    -1.22813349e+03
    1.02825438e+07    2.72379765e+02    1.00493380e+03    9.17930195e+02    7.13906694e+03    -3.24354122e+05    -1.14353000e+01    -1.22846106e+03
    1.07288444e+07    2.72345147e+02    1.00515523e+03    9.17983113e+02    7.44380032e+03    -3.23961132e+05    -1.19468503e+01    -1.22880324e+03
    1.11945160e+07    2.72308959e+02    1.00538613e+03    9.18038322e+02    7.76131169e+03    -3.23551224e+05    -1.24819375e+01    -1.22916073e+03
    1.16803995e+07    2.72271129e+02    1.00562689e+03    9.18095920e+02    8.09211661e+03    -3.23123676e+05    -1.30416999e+01    -1.22953422e+03
    1.21873722e+07    2.72231579e+02    1.00587792e+03    9.18156011e+02    8.43674968e+03    -3.22677734e+05    -1.36273351e+01    -1.22992445e+03
    1.27163494e+07    2.72190226e+02    1.00613965e+03    9.18218702e+02    8.79576503e+03    -3.22212614e+05    -1.42401036e+01    -1.23033219e+03
    1.32682861e+07    2.72146986e+02    1.00641254e+03    9.18284105e+02    9.16973691e+03    -3.21727501e+05    -1.48813328e+01    -1.23075825e+03
    1.38441789e+07    2.72101768e+02    1.00669704e+03    9.18352337e+02    9.55926017e+03    -3.21221543e+05    -1.55524204e+01    -1.23120348e+03
    1.44450676e+07    2.72054478e+02    1.00699364e+03    9.18423519e+02    9.96495087e+03    -3.20693853e+05    -1.62548389e+01    -1.23166878e+03
    1.50720372e+07    2.72005016e+02    1.00730285e+03    9.18497780e+02    1.03874465e+04    -3.20143510e+05    -1.69901408e+01    -1.23215507e+03
    1.57262195e+07    2.71953276e+02    1.00762518e+03    9.18575252e+02    1.08274074e+04    -3.19569549e+05    -1.77599599e+01    -1.23266335e+03
    1.64087958e+07    2.71899150e+02    1.00796120e+03    9.18656072e+02    1.12855161e+04    -3.18970971e+05    -1.85660214e+01    -1.23319464e+03
    1.71209984e+07    2.71842521e+02    1.00831145e+03    9.18740385e+02    1.17624784e+04    -3.18346732e+05    -1.94101441e+01    -1.23375001e+03
    1.78641132e+07    2.71783266e+02    1.00867654e+03    9.18828341e+02    1.22590239e+04    -3.17695747e+05    -2.02942467e+01    -1.23433062e+03
    1.86394820e+07    2.71721258e+02    1.00905707e+03    9.18920096e+02    1.27759062e+04    -3.17016884e+05    -2.12203543e+01    -1.23493765e+03
    1.94485046e+07    2.71656360e+02    1.00945367e+03    9.19015814e+02    1.33139036e+04    -3.16308966e+05    -2.21906043e+01    -1.23557236e+03
    2.02926419e+07    2.71588430e+02    1.00986702e+03    9.19115665e+02    1.38738194e+04    -3.15570768e+05    -2.32072542e+01    -1.23623605e+03
    2.11734178e+07    2.71517318e+02    1.01029779e+03    9.19219826e+02    1.44564819e+04    -3.14801013e+05    -2.42726883e+01    -1.23693013e+03
    2.20924227e+07    2.71442865e+02    1.01074670e+03    9.19328482e+02    1.50627453e+04    -3.13998375e+05    -2.53894263e+01    -1.23765603e+03
    2.30513158e+07    2.71364904e+02    1.01121449e+03    9.19441825e+02    1.56934893e+04    -3.13161471e+05    -2.65601326e+01    -1.23841530e+03
    2.40518284e+07    2.71283258e+02    1.01170192e+03    9.19560057e+02    1.63496207e+04    -3.12288864e+05    -2.77876204e+01    -1.23920954e+03
    2.50957670e+07    2.71197741e+02    1.01220980e+03    9.19683386e+02    1.70320715e+04    -3.11379056e+05    -2.90748691e+01    -1.24004044e+03
    2.61850164e+07    2.71108156e+02    1.01273895e+03    9.19812030e+02    1.77418005e+04    -3.10430491e+05    -3.04250297e+01    -1.24090980e+03
    2.73215432e+07    2.71014297e+02    1.01329023e+03    9.19946218e+02    1.84797929e+04    -3.09441551e+05    -3.18414370e+01    -1.24181947e+03
    2.85073996e+07    2.70915942e+02    1.01386453e+03    9.20086184e+02    1.92470599e+04    -3.08410550e+05    -3.33276214e+01    -1.24277144e+03
    2.97447264e+07    2.70812861e+02    1.01446277e+03    9.20232176e+02    2.00446391e+04    -3.07335738e+05    -3.48873218e+01    -1.24376779e+03
    3.10357579e+07    2.70704809e+02    1.01508591e+03    9.20384450e+02    2.08735934e+04    -3.06215293e+05    -3.65245007e+01    -1.24481071e+03
    3.23828249e+07    2.70591527e+02    1.01573494e+03    9.20543274e+02    2.17350127e+04    -3.05047321e+05    -3.82433515e+01    -1.24590251e+03
    3.37883597e+07    2.70472740e+02    1.01641089e+03    9.20708926e+02    2.26300104e+04    -3.03829853e+05    -4.00483249e+01    -1.24704562e+03
    3.52548998e+07    2.70348158e+02    1.01711482e+03    9.20881697e+02    2.35597247e+04    -3.02560844e+05    -4.19441381e+01    -1.24824261e+03
    3.67850933e+07    2.70217474e+02    1.01784784e+03    9.21061888e+02    2.45253174e+04    -3.01238167e+05    -4.39357940e+01    -1.24949620e+03
    3.83817028e+07    2.70080363e+02    1.01861108e+03    9.21249813e+02    2.55279724e+04    -2.99859614e+05    -4.60286031e+01    -1.25080923e+03
    4.00476110e+07    2.69936480e+02    1.01940572e+03    9.21445800e+02    2.65688971e+04    -2.98422887e+05    -4.82281936e+01    -1.25218472e+03
    4.17858259e+07    2.69785459e+02    1.02023299e+03    9.21650190e+02    2.76493171e+04    -2.96925604e+05    -5.05405470e+01    -1.25362586e+03
    4.35994858e+07    2.69626914e+02    1.02109414e+03    9.21863337e+02    2.87704778e+04    -2.95365288e+05    -5.29720118e+01    -1.25513601e+03
    4.54918652e+07    2.69460433e+02    1.02199048e+03    9.22085609e+02    2.99336409e+04    -2.93739370e+05    -5.55293326e+01    -1.25671872e+03
    4.74663809e+07    2.69285581e+02    1.02292335e+03    9.22317390e+02    3.11400855e+04    -2.92045179e+05    -5.82196660e+01    -1.25837775e+03
    4.95265979e+07    2.69101893e+02    1.02389415e+03    9.22559079e+02    3.23911024e+04    -2.90279947e+05    -6.10506233e+01    -1.26011707e+03
    5.16762360e+07    2.68908878e+02    1.02490430e+03    9.22811091e+02    3.36879936e+04    -2.88440798e+05    -6.40302899e+01    -1.26194089e+03
    5.39191763e+07    2.68706014e+02    1.02595529e+03    9.23073857e+02    3.50320692e+04    -2.86524753e+05    -6.71672618e+01    -1.26385363e+03
    5.62594686e+07    2.68492745e+02    1.02704864e+03    9.23347826e+02    3.64246478e+04    -2.84528718e+05    -7.04706661e+01    -1.26586002e+03
    5.87013382e+07    2.68268480e+02    1.02818592e+03    9.23633463e+02    3.78670475e+04    -2.82449487e+05    -7.39502176e+01    -1.26796502e+03
    6.12491941e+07    2.68032591e+02    1.02936873e+03    9.23931252e+02    3.93605902e+04    -2.80283735e+05    -7.76162299e+01    -1.27017392e+03
    6.39076363e+07    2.67784409e+02    1.03059875e+03    9.24241696e+02    4.09065923e+04    -2.78028017e+05    -8.14796761e+01    -1.27249230e+03
    6.66814648e+07    2.67523220e+02    1.03187768e+03    9.24565317e+02    4.25063637e+04    -2.75678764e+05    -8.55522200e+01    -1.27492610e+03
    6.95756877e+07    2.67248267e+02    1.03320726e+03    9.24902656e+02    4.41612081e+04    -2.73232278e+05    -8.98462456e+01    -1.27748160e+03
    7.25955306e+07    2.66958738e+02    1.03458929e+03    9.25254275e+02    4.58724128e+04    -2.70684731e+05    -9.43749264e+01    -1.28016547e+03
    7.57464460e+07    2.66653773e+02    1.03602561e+03    9.25620757e+02    4.76412540e+04    -2.68032159e+05    -9.91522379e+01    -1.28298479e+03
    7.90341227e+07    2.66332450e+02    1.03751809e+03    9.26002705e+02    4.94689861e+04    -2.65270461e+05    -1.04193035e+02    -1.28594708e+03
    8.24644968e+07    2.65993787e+02    1.03906865e+03    9.26400747e+02    5.13568489e+04    -2.62395393e+05    -1.09513060e+02    -1.28906033e+03
    8.60437619e+07    2.65636734e+02    1.04067925e+03    9.26815529e+02    5.33060572e+04    -2.59402567e+05    -1.15129023e+02    -1.29233303e+03
    8.97783804e+07    2.65260170e+02    1.04235187e+03    9.27247724e+02    5.53178101e+04    -2.56287447e+05    -1.21058610e+02    -1.29577421e+03
    9.36750951e+07    2.64862897e+02    1.04408853e+03    9.27698025e+02    5.73932897e+04    -2.53045344e+05    -1.27320530e+02    -1.29939348e+03
    9.77409417e+07    2.64443633e+02    1.04589127e+03    9.28167150e+02    5.95336624e+04    -2.49671415e+05    -1.33934563e+02    -1.30320107e+03
    1.01983261e+08    2.64001007e+02    1.04776215e+03    9.28655842e+02    6.17400947e+04    -2.46160659e+05    -1.40921548e+02    -1.30720785e+03
    1.06409713e+08    2.63533551e+02    1.04970323e+03    9.29164864e+02    6.40137611e+04    -2.42507911e+05    -1.48303411e+02    -1.31142543e+03
    1.11028289e+08    2.63039694e+02    1.05171658e+03    9.29695007e+02    6.63558639e+04    -2.38707844e+05    -1.56103148e+02    -1.31586618e+03
    1.15847329e+08    2.62517752e+02    1.05380426e+03    9.30247084e+02    6.87676599e+04    -2.34754960e+05    -1.64344788e+02    -1.32054327e+03
    1.20875533e+08    2.61965920e+02    1.05596832e+03    9.30821933e+02    7.12504971e+04    -2.30643590e+05    -1.73053324e+02    -1.32547076e+03
    1.26121979e+08    2.61382264e+02    1.05821072e+03    9.31420415e+02    7.38058637e+04    -2.26367889e+05    -1.82254593e+02    -1.33066365e+03
    1.31596141e+08    2.60764710e+02    1.06053342e+03    9.32043414e+02    7.64354556e+04    -2.21921831e+05    -1.91975100e+02    -1.33613795e+03
    1.37307902e+08    2.60111033e+02    1.06293825e+03    9.32691837e+02    7.91412651e+04    -2.17299204e+05    -2.02241761e+02    -1.34191074e+03
    1.43267574e+08    2.59418850e+02    1.06542692e+03    9.33366610e+02    8.19256986e+04    -2.12493606e+05    -2.13081532e+02    -1.34800026e+03
    1.49485918e+08    2.58685602e+02    1.06800102e+03    9.34068682e+02    8.47917308e+04    -2.07498432e+05    -2.24520909e+02    -1.35442597e+03
    1.55974162e+08    2.57908551e+02    1.07066189e+03    9.34799019e+02    8.77431163e+04    -2.02306869e+05    -2.36585200e+02    -1.36120860e+03
    1.62744019e+08    2.57084762e+02    1.07341064e+03    9.35558601e+02    9.07846447e+04    -1.96911881e+05    -2.49297625e+02    -1.36837030e+03
    1.69807713e+08    2.56211099e+02    1.07624802e+03    9.36348423e+02    9.39225055e+04    -1.91306186e+05    -2.62677980e+02    -1.37593459e+03
    1.77177998e+08    2.55284215e+02    1.07917437e+03    9.37169488e+02    9.71647414e+04    -1.85482238e+05    -2.76740940e+02    -1.38392646e+03
    1.84868180e+08    2.54300547e+02    1.08218948e+03    9.38022805e+02    1.00521843e+05    -1.79432189e+05    -2.91493783e+02    -1.39237242e+03
    1.92892145e+08    2.53256318e+02    1.08529249e+03    9.38909381e+02    1.04007544e+05    -1.73147836e+05    -3.06933266e+02    -1.40130039e+03
    2.01264379e+08    2.52147546e+02    1.08848166e+03    9.39830212e+02    1.07639837e+05    -1.66620562e+05    -3.23041580e+02    -1.41073969e+03
    2.10000000e+08    2.50970065e+02    1.09175420e+03    9.40786281e+02    1.11442298e+05    -1.59841238e+05    -3.39780941e+02    -1.42072079e+03
