# table for coexisting phases in IAPWS95
nbin_coex    100
temperature_coex_min    6.231500e+02
temperature_coex_max    6.470960e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_liq (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_liq (J / kg)    entropy_vap (J / kg / degK)    entropy_liq (J / kg / degK)
    6.23150000e+02    1.65292090e+07    1.13613825e+02    5.74670835e+02    2.56362548e+06    1.67088845e+06    5.21094255e+03    3.77832274e+03
    6.23389460e+02    1.65778488e+07    1.14203576e+02    5.73706596e+02    2.56199246e+06    1.67285270e+06    5.20763736e+03    3.78133835e+03
    6.23628920e+02    1.66266082e+07    1.14798512e+02    5.72736419e+02    2.56034590e+06    1.67482477e+06    5.20431360e+03    3.78436478e+03
    6.23868380e+02    1.66754872e+07    1.15398696e+02    5.71760207e+02    2.55868573e+06    1.67680479e+06    5.20097115e+03    3.78740223e+03
    6.24107840e+02    1.67244864e+07    1.16004204e+02    5.70777861e+02    2.55701182e+06    1.67879287e+06    5.19760985e+03    3.79045086e+03
    6.24347300e+02    1.67736061e+07    1.16615147e+02    5.69789275e+02    2.55532386e+06    1.68078916e+06    5.19422923e+03    3.79351089e+03
    6.24586760e+02    1.68228464e+07    1.17231598e+02    5.68794338e+02    2.55362176e+06    1.68279379e+06    5.19082914e+03    3.79658252e+03
    6.24826220e+02    1.68722079e+07    1.17853662e+02    5.67792949e+02    2.55190525e+06    1.68480688e+06    5.18740921e+03    3.79966594e+03
    6.25065680e+02    1.69216908e+07    1.18481439e+02    5.66784990e+02    2.55017411e+06    1.68682859e+06    5.18396908e+03    3.80276139e+03
    6.25305140e+02    1.69712954e+07    1.19115043e+02    5.65770347e+02    2.54842807e+06    1.68885907e+06    5.18050835e+03    3.80586907e+03
    6.25544600e+02    1.70210239e+07    1.19754604e+02    5.64748919e+02    2.54666678e+06    1.69089844e+06    5.17702647e+03    3.80898918e+03
    6.25784060e+02    1.70708731e+07    1.20400148e+02    5.63720540e+02    2.54489038e+06    1.69294690e+06    5.17352372e+03    3.81212202e+03
    6.26023520e+02    1.71208451e+07    1.21051831e+02    5.62685114e+02    2.54309840e+06    1.69500458e+06    5.16999937e+03    3.81526780e+03
    6.26262980e+02    1.71709403e+07    1.21709770e+02    5.61642505e+02    2.54129061e+06    1.69707165e+06    5.16645304e+03    3.81842676e+03
    6.26502440e+02    1.72211590e+07    1.22374082e+02    5.60592581e+02    2.53946672e+06    1.69914829e+06    5.16288433e+03    3.82159916e+03
    6.26741900e+02    1.72715015e+07    1.23044890e+02    5.59535202e+02    2.53762647e+06    1.70123466e+06    5.15929284e+03    3.82478526e+03
    6.26981360e+02    1.73219683e+07    1.23722320e+02    5.58470228e+02    2.53576958e+06    1.70333094e+06    5.15567815e+03    3.82798534e+03
    6.27220820e+02    1.73725598e+07    1.24406516e+02    5.57397512e+02    2.53389570e+06    1.70543733e+06    5.15203971e+03    3.83119968e+03
    6.27460280e+02    1.74232762e+07    1.25097587e+02    5.56316903e+02    2.53200464e+06    1.70755402e+06    5.14837727e+03    3.83442856e+03
    6.27699740e+02    1.74741180e+07    1.25795682e+02    5.55228239e+02    2.53009605e+06    1.70968120e+06    5.14469027e+03    3.83767229e+03
    6.27939200e+02    1.75250855e+07    1.26500947e+02    5.54131371e+02    2.52816959e+06    1.71181907e+06    5.14097824e+03    3.84093117e+03
    6.28178660e+02    1.75761791e+07    1.27213529e+02    5.53026128e+02    2.52622494e+06    1.71396786e+06    5.13724067e+03    3.84420553e+03
    6.28418120e+02    1.76273993e+07    1.27933581e+02    5.51912337e+02    2.52426176e+06    1.71612778e+06    5.13347705e+03    3.84749569e+03
