# table for coexisting phases in IAPWS95
nbin_coex    100
temperature_coex_min    6.231500e+02
temperature_coex_max    6.470960e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_liq (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_liq (J / kg)    entropy_vap (J / kg / degK)    entropy_liq (J / kg / degK)
    6.28657580e+02    1.76787464e+07    1.28661263e+02    5.50789823e+02    2.52227969e+06    1.71829905e+06    5.12968684e+03    3.85080200e+03
    6.28897040e+02    1.77302208e+07    1.29396738e+02    5.49658400e+02    2.52027837e+06    1.72048191e+06    5.12586949e+03    3.85412482e+03
    6.29136500e+02    1.77818229e+07    1.30140177e+02    5.48517880e+02    2.51825741e+06    1.72267661e+06    5.12202443e+03    3.85746450e+03
    6.29375960e+02    1.78335532e+07    1.30891755e+02    5.47368066e+02    2.51621643e+06    1.72488339e+06    5.11815106e+03    3.86082144e+03
    6.29615420e+02    1.78854121e+07    1.31651656e+02    5.46208755e+02    2.51415500e+06    1.72710252e+06    5.11424878e+03    3.86419603e+03
    6.29854880e+02    1.79373999e+07    1.32420068e+02    5.45039736e+02    2.51207272e+06    1.72933427e+06    5.11031693e+03    3.86758867e+03
    6.30094340e+02    1.79895171e+07    1.33197188e+02    5.43860791e+02    2.50996914e+06    1.73157892e+06    5.10635485e+03    3.87099980e+03
    6.30333800e+02    1.80417642e+07    1.33983221e+02    5.42671693e+02    2.50784381e+06    1.73383675e+06    5.10236186e+03    3.87442985e+03
    6.30573260e+02    1.80941415e+07    1.34778394e+02    5.41472208e+02    2.50569617e+06    1.73610809e+06    5.09833713e+03    3.87787928e+03
    6.30812720e+02    1.81466496e+07    1.35582896e+02    5.40262083e+02    2.50352588e+06    1.73839324e+06    5.09428014e+03    3.88134859e+03
    6.31052180e+02    1.81992889e+07    1.36396972e+02    5.39041079e+02    2.50133236e+06    1.74069252e+06    5.09018999e+03    3.88483825e+03
    6.31291640e+02    1.82520598e+07    1.37220859e+02    5.37808927e+02    2.49911508e+06    1.74300627e+06    5.08606589e+03    3.88834877e+03
    6.31531100e+02    1.83049629e+07    1.38054807e+02    5.36565351e+02    2.49687347e+06    1.74533486e+06    5.08190699e+03    3.89188071e+03
    6.31770560e+02    1.83579985e+07    1.38899072e+02    5.35310066e+02    2.49460697e+06    1.74767865e+06    5.07771243e+03    3.89543463e+03
    6.32010020e+02    1.84111672e+07    1.39753925e+02    5.34042775e+02    2.49231497e+06    1.75003803e+06    5.07348130e+03    3.89901110e+03
    6.32249480e+02    1.84644695e+07    1.40619646e+02    5.32763168e+02    2.48999684e+06    1.75241340e+06    5.06921263e+03    3.90261074e+03
    6.32488940e+02    1.85179058e+07    1.41496530e+02    5.31470922e+02    2.48765194e+06    1.75480518e+06    5.06490545e+03    3.90623419e+03
    6.32728400e+02    1.85714767e+07    1.42384882e+02    5.30165700e+02    2.48527957e+06    1.75721381e+06    5.06055870e+03    3.90988211e+03
    6.32967860e+02    1.86251827e+07    1.43285022e+02    5.28847150e+02    2.48287903e+06    1.75963974e+06    5.05617133e+03    3.91355519e+03
    6.33207320e+02    1.86790243e+07    1.44197286e+02    5.27514904e+02    2.48044956e+06    1.76208346e+06    5.05174218e+03    3.91725418e+03
    6.33446780e+02    1.87330020e+07    1.45122025e+02    5.26168577e+02    2.47799040e+06    1.76454547e+06    5.04727007e+03    3.92097982e+03
    6.33686240e+02    1.87871164e+07    1.46059606e+02    5.24807765e+02    2.47550071e+06    1.76702629e+06    5.04275377e+03    3.92473293e+03
    6.33925700e+02    1.88413681e+07    1.47010414e+02    5.23432046e+02    2.47297965e+06    1.76952648e+06    5.03819197e+03    3.92851433e+03
    6.34165160e+02    1.88957576e+07    1.47974854e+02    5.22040979e+02    2.47042631e+06    1.77204661e+06    5.03358331e+03    3.93232492e+03
    6.34404620e+02    1.89502855e+07    1.48953351e+02    5.20634097e+02    2.46783976e+06    1.77458729e+06    5.02892635e+03    3.93616561e+03
    6.34644080e+02    1.90049523e+07    1.49946353e+02    5.19210914e+02    2.46521899e+06    1.77714917e+06    5.02421959e+03    3.94003738e+03
    6.34883540e+02    1.90597587e+07    1.50954329e+02    5.17770915e+02    2.46256297e+06    1.77973292e+06    5.01946144e+03    3.94394126e+03
    6.35123000e+02    1.91147054e+07    1.51977775e+02    5.16313561e+02    2.45987061e+06    1.78233924e+06    5.01465023e+03    3.94787832e+03
    6.35362460e+02    1.91697928e+07    1.53017213e+02    5.14838271e+02    2.45714074e+06    1.78496890e+06    5.00978421e+03    3.95184974e+03
    6.35601920e+02    1.92250217e+07    1.54073196e+02    5.13344466e+02    2.45437215e+06    1.78762266e+06    5.00486151e+03    3.95585667e+03
    6.35841380e+02    1.92803927e+07    1.55146307e+02    5.11831503e+02    2.45156355e+06    1.79030137e+06    4.99988018e+03    3.95990040e+03
    6.36080840e+02    1.93359065e+07    1.56237189e+02    5.10298710e+02    2.44871348e+06    1.79300591e+06    4.99483799e+03    3.96398228e+03
    6.36320300e+02    1.93915638e+07    1.57346446e+02    5.08745379e+02    2.44582070e+06    1.79573723e+06    4.98973306e+03    3.96810375e+03
    6.36559760e+02    1.94473653e+07    1.58474795e+02    5.07170757e+02    2.44288357e+06    1.79849631e+06    4.98456290e+03    3.97226632e+03
    6.36799220e+02    1.95033117e+07    1.59622975e+02    5.05574048e+02    2.43990050e+06    1.80128421e+06    4.97932504e+03    3.97647159e+03
    6.37038680e+02    1.95594037e+07    1.60791769e+02    5.03954402e+02    2.43686975e+06    1.80410205e+06    4.97401687e+03    3.98072130e+03
    6.37278140e+02    1.96156421e+07    1.61982014e+02    5.02310920e+02    2.43378950e+06    1.80695103e+06    4.96863559e+03    3.98501725e+03
    6.37517600e+02    1.96720278e+07    1.63194600e+02    5.00642638e+02    2.43065779e+06    1.80983243e+06    4.96317823e+03    3.98936141e+03
    6.37757060e+02    1.97285614e+07    1.64430480e+02    4.98948530e+02    2.42747255e+06    1.81274760e+06    4.95764162e+03    3.99375586e+03
    6.37996520e+02    1.97852438e+07    1.65690676e+02    4.97227500e+02    2.42423155e+06    1.81569802e+06    4.95202234e+03    3.99820283e+03
    6.38235980e+02    1.98420760e+07    1.66976280e+02    4.95478372e+02    2.42093241e+06    1.81868525e+06    4.94631677e+03    4.00270471e+03
    6.38475440e+02    1.98990587e+07    1.68288469e+02    4.93699884e+02    2.41757258e+06    1.82171097e+06    4.94052100e+03    4.00726410e+03
    6.38714900e+02    1.99561928e+07    1.69628507e+02    4.91890680e+02    2.41414931e+06    1.82477700e+06    4.93463084e+03    4.01188375e+03
    6.38954360e+02    2.00134795e+07    1.70997761e+02    4.90049301e+02    2.41065965e+06    1.82788529e+06    4.92864176e+03    4.01656666e+03
    6.39193820e+02    2.00709195e+07    1.72397707e+02    4.88174166e+02    2.40710040e+06    1.83103795e+06    4.92254889e+03    4.02131607e+03
    6.39433280e+02    2.01285139e+07    1.73829945e+02    4.86263571e+02    2.40346811e+06    1.83423728e+06    4.91634695e+03    4.02613548e+03
    6.39672740e+02    2.01862637e+07    1.75296214e+02    4.84315663e+02    2.39975905e+06    1.83748577e+06    4.91003020e+03    4.03102872e+03
    6.39912200e+02    2.02441701e+07    1.76798407e+02    4.82328426e+02    2.39596914e+06    1.84078613e+06    4.90359243e+03    4.03599994e+03
    6.40151660e+02    2.03022342e+07    1.78338594e+02    4.80299667e+02    2.39209396e+06    1.84414132e+06    4.89702684e+03    4.04105369e+03
    6.40391120e+02    2.03604572e+07    1.79919042e+02    4.78226955e+02    2.38812864e+06    1.84755463e+06    4.89032601e+03    4.04619497e+03
    6.40630580e+02    2.04188402e+07    1.81542242e+02    4.76107702e+02    2.38406790e+06    1.85102956e+06    4.88348180e+03    4.05142919e+03
    6.40870040e+02    2.04773846e+07    1.83210942e+02    4.73938984e+02    2.37990586e+06    1.85457007e+06    4.87648525e+03    4.05676243e+03
    6.41109500e+02    2.05360917e+07    1.84928186e+02    4.71717592e+02    2.37563609e+06    1.85818054e+06    4.86932645e+03    4.06220137e+03
    6.41348960e+02    2.05949630e+07    1.86697355e+02    4.69439969e+02    2.37125143e+06    1.86186580e+06    4.86199443e+03    4.06775345e+03
    6.41588420e+02    2.06540000e+07    1.88522225e+02    4.67102153e+02    2.36674391e+06    1.86563126e+06    4.85447698e+03    4.07342696e+03
    6.41827880e+02    2.07132041e+07    1.90407028e+02    4.64699708e+02    2.36210463e+06    1.86948299e+06    4.84676045e+03    4.07923124e+03
    6.42067340e+02    2.07725771e+07    1.92356602e+02    4.62227651e+02    2.35732338e+06    1.87342782e+06    4.83882913e+03    4.08517677e+03
    6.42306800e+02    2.08321208e+07    1.94376233e+02    4.59680343e+02    2.35238926e+06    1.87747350e+06    4.83066630e+03    4.09127546e+03
    6.42546260e+02    2.08918370e+07    1.96472143e+02    4.57051373e+02    2.34728923e+06    1.88162886e+06    4.82225195e+03    4.09754090e+03
    6.42785720e+02    2.09517278e+07    1.98651413e+02    4.54333402e+02    2.34200863e+06    1.88590405e+06    4.81356351e+03    4.10398867e+03
    6.43025180e+02    2.10117952e+07    2.00922228e+02    4.51517971e+02    2.33653052e+06    1.89031080e+06    4.80457499e+03    4.11063681e+03
    6.43264640e+02    2.10720417e+07    2.03294131e+02    4.48595247e+02    2.33083530e+06    1.89486277e+06    4.79525621e+03    4.11750634e+03
    6.43504100e+02    2.11324697e+07    2.05778348e+02    4.45553700e+02    2.32489995e+06    1.89957605e+06    4.78557180e+03    4.12462201e+03
    6.43743560e+02    2.11930820e+07    2.08388220e+02    4.42379675e+02    2.31869728e+06    1.90446976e+06    4.77547992e+03    4.13201325e+03
    6.43983020e+02    2.12538815e+07    2.11139796e+02    4.39056812e+02    2.31219475e+06    1.90956688e+06    4.76493049e+03    4.13971545e+03
    6.44222480e+02    2.13148717e+07    2.14052634e+02    4.35565188e+02    2.30535289e+06    1.91489551e+06    4.75386277e+03    4.14777188e+03
    6.44461940e+02    2.13760539e+07    2.17150413e+02    4.31880151e+02    2.29812461e+06    1.92049058e+06    4.74220426e+03    4.15623632e+03
    6.44701400e+02    2.14374367e+07    2.20464609e+02    4.27971587e+02    2.29044643e+06    1.92639508e+06    4.72985714e+03    4.16517503e+03
    6.44940860e+02    2.14990226e+07    2.24033987e+02    4.23799950e+02    2.28224201e+06    1.93266560e+06    4.71670383e+03    4.17467518e+03
    6.45180320e+02    2.15608170e+07    2.27910351e+02    4.19313726e+02    2.27340964e+06    1.93937634e+06    4.70258756e+03    4.18485120e+03
    6.45419780e+02    2.16228264e+07    2.32164257e+02    4.14443220e+02    2.26381193e+06    1.94662839e+06    4.68729655e+03    4.19585894e+03
    6.45659240e+02    2.16850582e+07    2.36895902e+02    4.09090441e+02    2.25325552e+06    1.95456494e+06    4.67053260e+03    4.20791924e+03
    6.45898700e+02    2.17475220e+07    2.42253686e+02    4.03110606e+02    2.24145761e+06    1.96339938e+06    4.65185954e+03    4.22136133e+03
    6.46138160e+02    2.18102298e+07    2.48475212e+02    3.96274978e+02    2.22797057e+06    1.97347229e+06    4.63058670e+03    4.23671075e+03
    6.46377620e+02    2.18731977e+07    2.55977537e+02    3.88185295e+02    2.21202087e+06    1.98538385e+06    4.60552024e+03    4.25489388e+03
    6.46617080e+02    2.19364491e+07    2.65612988e+02    3.78037523e+02    2.19205757e+06    2.00036478e+06    4.57426579e+03    4.27781090e+03
    6.46856540e+02    2.20000225e+07    2.79690239e+02    3.63668355e+02    2.16398605e+06    2.02179677e+06    4.53050017e+03    4.31068438e+03
    6.47096000e+02    2.20640000e+07    3.22000000e+02    3.22000000e+02    2.08754685e+06    2.08754685e+06    4.41202148e+03    4.41202148e+03
